action,match_key,display_name,sources,status,remark
HOLD_LEGACY_NOT_IN_CURRENT,48thcentralscientificresearchinstitute(tsnii),48th Central Scientific Research Institute (TsNII),経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,48thtsnii,48th TsNII,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,5-ysudoremontnyyzavod,5-y Sudoremontnyy Zavod,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,514arz,514 ARZ,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,558aircraftrepairplantjsc,558 Aircraft Repair Plant JSC,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,5srz,5 SRZ,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,5thshipyard,5th Shipyard,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,680arz,680 ARZ,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,711arz,711 ARZ,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,720rzsop,720 RZ SOP,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,929glitsvvs,929 GLITs VVS,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,929gosudarstvenniyletno-ispytatelniytsentrministerstvooboronirossiiskoi,929 Gosudarstvenniy Letno-Ispytatelniy Tsentr Ministerstvo Oboroni Rossiiskoi,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,929v.p.チカロフ名称ロシア連邦国防省国立飛行試験センタ-,929 V.P.チカロフ名称ロシア連邦国防省国立飛行試験センター,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,929国立飛行実験センタ-,929国立飛行実験センター,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,"a.a.kharkevichinstituteforinformationtransmissionproblems(iitp),russianacademyofsciences(ras)","A.A. Kharkevich Institute for Information Transmission Problems (IITP), Russian Academy of Sciences (RAS)",経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,a.a.クラコフ名称株式会社プラント,A.A.クラコフ名 称株式会社プラント,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,a.i.ヤスキン名称学術生産企業スタルト,A.I.ヤスキン名称学術生産企業スタルト,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,a.l.ミンツ名称無線技術研究所,A.L.ミンツ名称無線技術研究所,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,a.lyulkiexperimental-designbureau,A. Lyulki Experimental-Design Bureau,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,a.lyulkiexperimental-designbureaubranchofuec-umpo,A. Lyulki Experimental-Design Bureau Branch of UEC-UMPO,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,a.lyulkiokb,A. Lyulki OKB,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,a.lyulkiscienceandtechnologycenter,A. Lyulki Science and Technology Center,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,a.m.isayevchemicalengineeringdesignbureau,A.M. Isayev Chemical Engineering Design Bureau,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,a.m.イサエフ名称化学工学設計局,A.M.イサエフ名称化学工学設計局,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,a.s.yakovlevedb,A.S. Yakovlev EDB,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,a.s.ヤコヴレフedb,A.S.ヤコヴレフ EDB,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,a.v.ルジャノフ名称半導体物理学研究所,Ａ．Ｖ．ルジャノフ名称半導体物理学研究所,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,a.リュリキokb,Ａ．リュリキ OKB,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,a.リュリキ科学技術センタ-,Ａ．リュリキ科学技術センター,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,a.リュリキ試験設計局,Ａ．リュリキ試験設計局,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,aarz,AARZ,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,academiciana.l.mintsradiotechnicalinstitute,Academician A.L. Mints Radiotechnical Institute,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,academyofaerospacesolidpropulsiontechnology,Academy of Aerospace Solid Propulsion Technology,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,academyofhealthandfoodscience,Academy of Health and Food Science,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,aeccbeijinginstituteofaeronauticalmaterials,AECC Beijing Institute of Aeronautical Materials,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,aeccsouthindustrycompanylimited,AECC South Industry Company Limited,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,aerocomposit,Aerocomposit,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,agat-controlsystems,AGAT – Control Systems,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,agat-controlsystems-managingcompanyofgeoinformationcontrolsystemsholdingjsc,AGAT – Control Systems – Managing Company of Geoinformation Control Systems Holding JSC,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,agat-electromechanicalplantojsc,AGAT-Electromechanical Plant OJSC,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,agat-elektromekhanicheskizavod,Agat-Elektromekhanicheski Zavod,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,agat-system,Agat-System,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,aguinformationtechnologycolimited,AGU INFORMATION TECHNOLOGY CO LIMITED,OFAC;経産省,有効,制裁リスト（経産省／OFAC：SDN）
HOLD_LEGACY_NOT_IN_CURRENT,airforceofbelarus,Air Force of Belarus,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,airforceofrussia,Air Force of Russia,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,akbarsholding,Ak Bars Holding,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,"aktcionernoeobshestvo""sredne-nevskysudostroyelnyplant",Aktcionernoe Obshestvo “Sredne - Nevsky Sudostroyelny Plant”,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,"aktsionernoeobshchestvo""konstruktorskoebyuro""rubin-sever",Aktsionernoe Obshchestvo “Konstruktorskoe Byuro “Rubin-Sever”,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,"aktsionernoeobshchestvo""krasnygidropress",Aktsionernoe Obshchestvo “Krasny Gidropress”,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,"aktsionernoeobshchestvo""mashinostroitelnoekonstruktorskoebyuro""iskra",Aktsionernoe Obshchestvo “Mashinostroitelnoe Konstruktorskoe Byuro “Iskra”,経産省,有効,制裁リスト（経産省）
